Episodic Return: 98.59048461914062, Time Step 134000
Episodic Return: 94.56449127197266, Time Step 135000
Episodic Return: 42.5308723449707, Time Step 136000
Episodic Return: 68.48649597167969, Time Step 137000
Episodic Return: 77.45529174804688, Time Step 138000
Episodic Return: 175.94610595703125, Time Step 139000
Episodic Return: 110.86763000488281, Time Step 140000
Episodic Return: 18.886594772338867, Time Step 141000
Episodic Return: 38.30521774291992, Time Step 142000
Episodic Return: 28.331525802612305, Time Step 143000
Episodic Return: 71.11784362792969, Time Step 144000
Episodic Return: 16.260765075683594, Time Step 145000
Episodic Return: 42.35850143432617, Time Step 146000
Episodic Return: 56.69587326049805, Time Step 147000
Episodic Return: 61.39827346801758, Time Step 148000
Episodic Return: 53.43517303466797, Time Step 149000
Episodic Return: 86.36442565917969, Time Step 150000
Episodic Return: 59.90761947631836, Time Step 151000
Episodic Return: 69.68891143798828, Time Step 152000
Episodic Return: 56.18929672241211, Time Step 153000
Episodic Return: 45.62191390991211, Time Step 154000
Episodic Return: 59.46668243408203, Time Step 155000
Episodic Return: 36.75984573364258, Time Step 156000
Episodic Return: 78.62332916259766, Time Step 157000
Episodic Return: 55.13579559326172, Time Step 158000
Episodic Return: 49.39855194091797, Time Step 159000
Episodic Return: 132.7555389404297, Time Step 160000
Episodic Return: 59.82127380371094, Time Step 161000
Episodic Return: 83.40484619140625, Time Step 162000
Episodic Return: 126.45636749267578, Time Step 163000
Episodic Return: 73.986083984375, Time Step 164000
Episodic Return: 72.70990753173828, Time Step 165000
Episodic Return: 136.26773071289062, Time Step 166000
Episodic Return: 128.0242462158203, Time Step 167000
Episodic Return: 36.958255767822266, Time Step 168000
Episodic Return: 87.9257583618164, Time Step 169000
Episodic Return: 130.35781860351562, Time Step 170000
Episodic Return: 92.43150329589844, Time Step 171000
Episodic Return: 89.78382110595703, Time Step 172000
Episodic Return: 123.10772705078125, Time Step 173000
Episodic Return: 136.651123046875, Time Step 174000
Episodic Return: 156.74522399902344, Time Step 175000
Episodic Return: 59.75074768066406, Time Step 176000
Episodic Return: 9.383232116699219, Time Step 177000
Episodic Return: 179.38626098632812, Time Step 178000
Episodic Return: 83.27793884277344, Time Step 179000
Episodic Return: 161.8706817626953, Time Step 180000
Episodic Return: 145.7064666748047, Time Step 181000
Episodic Return: 53.74607849121094, Time Step 182000
Episodic Return: 149.0533905029297, Time Step 183000
Episodic Return: 98.38850402832031, Time Step 184000
Episodic Return: 50.17807388305664, Time Step 185000
Episodic Return: 150.7875213623047, Time Step 186000
Episodic Return: 206.27877807617188, Time Step 187000
Episodic Return: 50.56453323364258, Time Step 188000
Episodic Return: 24.308940887451172, Time Step 189000
Episodic Return: 116.88834381103516, Time Step 190000
Episodic Return: 58.436885833740234, Time Step 191000
Episodic Return: 197.86776733398438, Time Step 192000
Episodic Return: 46.478641510009766, Time Step 193000
Episodic Return: 116.82746887207031, Time Step 194000
Episodic Return: 70.50305938720703, Time Step 195000
Episodic Return: 101.51558685302734, Time Step 196000
Episodic Return: 162.62339782714844, Time Step 197000
Episodic Return: 91.1970443725586, Time Step 198000
Episodic Return: 187.04002380371094, Time Step 199000
Episodic Return: 49.182621002197266, Time Step 200000
Episodic Return: 66.60326385498047, Time Step 201000
Episodic Return: 42.10621643066406, Time Step 202000
Episodic Return: 178.77499389648438, Time Step 203000
Episodic Return: 179.32859802246094, Time Step 204000
Episodic Return: 189.12950134277344, Time Step 205000
Episodic Return: 44.28945541381836, Time Step 206000
Episodic Return: 174.19439697265625, Time Step 207000
Episodic Return: 87.76124572753906, Time Step 208000
Episodic Return: 113.09967041015625, Time Step 209000
Episodic Return: 79.70217895507812, Time Step 210000
Episodic Return: 128.58323669433594, Time Step 211000
Episodic Return: 52.68871307373047, Time Step 212000
Episodic Return: 96.09017181396484, Time Step 213000
Episodic Return: 97.05396270751953, Time Step 214000
Episodic Return: 76.60704803466797, Time Step 215000
Episodic Return: 79.98815155029297, Time Step 216000
Episodic Return: 28.411670684814453, Time Step 217000
Episodic Return: 66.53485870361328, Time Step 218000
Episodic Return: 85.13622283935547, Time Step 219000
Episodic Return: 34.56791687011719, Time Step 220000
Episodic Return: 146.36822509765625, Time Step 221000
Episodic Return: 205.47410583496094, Time Step 222000
Episodic Return: 112.35679626464844, Time Step 223000
Episodic Return: 47.7856330871582, Time Step 224000
Episodic Return: 99.7531967163086, Time Step 225000
Episodic Return: 173.9291229248047, Time Step 226000
Episodic Return: 139.91510009765625, Time Step 227000
Episodic Return: 78.0619125366211, Time Step 228000
Episodic Return: 193.62222290039062, Time Step 229000
Episodic Return: 135.31570434570312, Time Step 230000
Episodic Return: 129.94261169433594, Time Step 231000
Episodic Return: 152.6740264892578, Time Step 232000
Episodic Return: 161.63619995117188, Time Step 233000
Episodic Return: 119.03071594238281, Time Step 234000
Episodic Return: 93.66300964355469, Time Step 235000
Episodic Return: 70.7297592163086, Time Step 236000
Episodic Return: 162.89447021484375, Time Step 237000
Episodic Return: 56.32724380493164, Time Step 238000
Episodic Return: 142.95217895507812, Time Step 239000
Episodic Return: 146.3197021484375, Time Step 240000
Episodic Return: 114.3929672241211, Time Step 241000
Episodic Return: 93.94677734375, Time Step 242000
Episodic Return: 97.20597839355469, Time Step 243000
Episodic Return: 75.43604278564453, Time Step 244000
Episodic Return: 188.04098510742188, Time Step 245000
Episodic Return: 197.34378051757812, Time Step 246000
Episodic Return: 178.7974090576172, Time Step 247000
Episodic Return: 147.40267944335938, Time Step 248000
Episodic Return: 187.82276916503906, Time Step 249000
Episodic Return: 172.2584991455078, Time Step 250000
Episodic Return: 133.3176727294922, Time Step 251000
Episodic Return: 152.7529296875, Time Step 252000
Episodic Return: 179.0437469482422, Time Step 253000
Episodic Return: 157.16744995117188, Time Step 254000
Episodic Return: 199.04624938964844, Time Step 255000
Episodic Return: 108.63941955566406, Time Step 256000
Episodic Return: 132.65396118164062, Time Step 257000
Episodic Return: 230.1815948486328, Time Step 258000
Episodic Return: 209.16482543945312, Time Step 259000
Episodic Return: 139.65878295898438, Time Step 260000
Episodic Return: 63.09779357910156, Time Step 261000
Episodic Return: 203.27711486816406, Time Step 262000
Episodic Return: 236.40318298339844, Time Step 263000
Episodic Return: 230.21925354003906, Time Step 264000
Episodic Return: 144.36956787109375, Time Step 265000
Episodic Return: 77.04559326171875, Time Step 266000
Episodic Return: 206.45457458496094, Time Step 267000
Episodic Return: 50.46720504760742, Time Step 268000
Episodic Return: 167.0872802734375, Time Step 269000
Episodic Return: 167.47445678710938, Time Step 270000
Episodic Return: 154.7367706298828, Time Step 271000
Episodic Return: 159.4835662841797, Time Step 272000
Episodic Return: 86.93599700927734, Time Step 273000
Episodic Return: 133.8485107421875, Time Step 274000
Episodic Return: 149.1323699951172, Time Step 275000
Episodic Return: 199.2640838623047, Time Step 276000
Episodic Return: 133.0043182373047, Time Step 277000
Episodic Return: 145.438232421875, Time Step 278000
Episodic Return: 181.86688232421875, Time Step 279000
Episodic Return: 131.77601623535156, Time Step 280000
Episodic Return: 138.907470703125, Time Step 281000
Episodic Return: 160.54339599609375, Time Step 282000
Episodic Return: 125.99409484863281, Time Step 283000
Episodic Return: 176.49298095703125, Time Step 284000
Episodic Return: 117.46212768554688, Time Step 285000
Episodic Return: 67.25926208496094, Time Step 286000
Episodic Return: 209.46148681640625, Time Step 287000
Episodic Return: 180.77186584472656, Time Step 288000
Episodic Return: 125.30973815917969, Time Step 289000
Episodic Return: 192.53668212890625, Time Step 290000
Episodic Return: 196.9090118408203, Time Step 291000
Episodic Return: 190.50692749023438, Time Step 292000
Episodic Return: 99.13928985595703, Time Step 293000
Episodic Return: 112.17888641357422, Time Step 294000
Episodic Return: 179.30406188964844, Time Step 295000
Episodic Return: 209.7158203125, Time Step 296000
Episodic Return: 135.71810913085938, Time Step 297000
Episodic Return: 280.5623779296875, Time Step 298000
Episodic Return: 231.23361206054688, Time Step 299000
Episodic Return: 171.7537841796875, Time Step 300000
Episodic Return: 148.69007873535156, Time Step 301000
Episodic Return: 169.19093322753906, Time Step 302000
Episodic Return: 86.88117980957031, Time Step 303000
Episodic Return: 92.27326202392578, Time Step 304000
Episodic Return: 161.83404541015625, Time Step 305000
Episodic Return: 107.86956024169922, Time Step 306000
Episodic Return: 198.560546875, Time Step 307000
Episodic Return: 194.42906188964844, Time Step 308000
Episodic Return: 129.46548461914062, Time Step 309000
Episodic Return: 187.64822387695312, Time Step 310000
Episodic Return: 155.00924682617188, Time Step 311000
Episodic Return: 112.15827178955078, Time Step 312000
Episodic Return: 108.81159210205078, Time Step 313000
Episodic Return: 228.87342834472656, Time Step 314000
Episodic Return: 95.37455749511719, Time Step 315000
Episodic Return: 161.02476501464844, Time Step 316000
Episodic Return: 303.7086486816406, Time Step 317000
Episodic Return: 170.86062622070312, Time Step 318000
Episodic Return: 212.48043823242188, Time Step 319000
Episodic Return: 160.97744750976562, Time Step 320000
Episodic Return: 171.88050842285156, Time Step 321000
Episodic Return: 274.5807189941406, Time Step 322000
Episodic Return: 195.5986328125, Time Step 323000
Episodic Return: 141.70741271972656, Time Step 324000
Episodic Return: 293.0090026855469, Time Step 325000
Episodic Return: 214.24005126953125, Time Step 326000
Episodic Return: 243.1049346923828, Time Step 327000
Episodic Return: 149.7055206298828, Time Step 328000
Episodic Return: 144.03387451171875, Time Step 329000
Episodic Return: 110.42695617675781, Time Step 330000
Episodic Return: 147.9520263671875, Time Step 331000
Episodic Return: 176.03146362304688, Time Step 332000
Episodic Return: 196.29827880859375, Time Step 333000
Episodic Return: 177.00184631347656, Time Step 334000
Episodic Return: 285.25286865234375, Time Step 335000
Episodic Return: 128.3463897705078, Time Step 336000
Episodic Return: 196.19268798828125, Time Step 337000
Episodic Return: 258.4259948730469, Time Step 338000
Episodic Return: 256.7833251953125, Time Step 339000
Episodic Return: 261.0887756347656, Time Step 340000
Episodic Return: 108.74827575683594, Time Step 341000
Episodic Return: 165.4474334716797, Time Step 342000
Episodic Return: 283.33111572265625, Time Step 343000
Episodic Return: 261.03961181640625, Time Step 344000
Episodic Return: 188.79798889160156, Time Step 345000
Episodic Return: 309.7391357421875, Time Step 346000
Episodic Return: 226.67794799804688, Time Step 347000
Episodic Return: 296.8714294433594, Time Step 348000
Episodic Return: 319.480712890625, Time Step 349000
Episodic Return: 303.48052978515625, Time Step 350000
Episodic Return: 207.07730102539062, Time Step 351000
Episodic Return: 261.5425109863281, Time Step 352000
Episodic Return: 169.42605590820312, Time Step 353000
Episodic Return: 78.13744354248047, Time Step 354000
Episodic Return: 100.18280792236328, Time Step 355000
Episodic Return: 252.28367614746094, Time Step 356000
Episodic Return: 263.9198913574219, Time Step 357000
Episodic Return: 119.55746459960938, Time Step 358000
Episodic Return: 254.0778045654297, Time Step 359000
Episodic Return: 172.74722290039062, Time Step 360000
Episodic Return: 162.1714630126953, Time Step 361000
Episodic Return: 196.9391632080078, Time Step 362000
Episodic Return: 266.8957824707031, Time Step 363000
Episodic Return: 139.2238311767578, Time Step 364000
Episodic Return: 242.55703735351562, Time Step 365000
Episodic Return: 258.31146240234375, Time Step 366000
Episodic Return: 230.97549438476562, Time Step 367000
Episodic Return: 172.85702514648438, Time Step 368000
Episodic Return: 219.7345733642578, Time Step 369000
Episodic Return: 195.04750061035156, Time Step 370000
Episodic Return: 183.69505310058594, Time Step 371000
Episodic Return: 188.07810974121094, Time Step 372000
Episodic Return: 218.97998046875, Time Step 373000
Episodic Return: 238.97865295410156, Time Step 374000
Episodic Return: 119.24178314208984, Time Step 375000
Episodic Return: 165.57305908203125, Time Step 376000
Episodic Return: 218.24935913085938, Time Step 377000
Episodic Return: 234.70526123046875, Time Step 378000
Episodic Return: 115.31383514404297, Time Step 379000
Episodic Return: 179.8603057861328, Time Step 380000
Episodic Return: 235.02243041992188, Time Step 381000
Episodic Return: 272.5823974609375, Time Step 382000
Episodic Return: 234.55885314941406, Time Step 383000
Episodic Return: 185.33692932128906, Time Step 384000
Episodic Return: 223.33358764648438, Time Step 385000
Episodic Return: 217.66983032226562, Time Step 386000
Episodic Return: 255.35443115234375, Time Step 387000
Episodic Return: 166.2541046142578, Time Step 388000
Episodic Return: 229.45843505859375, Time Step 389000
Episodic Return: 322.44818115234375, Time Step 390000
Episodic Return: 147.2975616455078, Time Step 391000
Episodic Return: 246.94473266601562, Time Step 392000
Episodic Return: 277.5988464355469, Time Step 393000
Episodic Return: 199.7681427001953, Time Step 394000
Episodic Return: 231.16668701171875, Time Step 395000
Episodic Return: 223.83029174804688, Time Step 396000
Episodic Return: 200.0970001220703, Time Step 397000
Episodic Return: 282.3855895996094, Time Step 398000
Episodic Return: 269.2245178222656, Time Step 399000
Episodic Return: 235.3748321533203, Time Step 400000
Episodic Return: 321.49627685546875, Time Step 401000
Episodic Return: 192.9180450439453, Time Step 402000
Episodic Return: 199.54071044921875, Time Step 403000
Episodic Return: 199.73562622070312, Time Step 404000
Episodic Return: 274.2748107910156, Time Step 405000
Episodic Return: 214.38479614257812, Time Step 406000
Episodic Return: 280.7442626953125, Time Step 407000
Episodic Return: 264.46588134765625, Time Step 408000
Episodic Return: 246.6126251220703, Time Step 409000
Episodic Return: 274.6608581542969, Time Step 410000
Episodic Return: 286.2034606933594, Time Step 411000
Episodic Return: 198.0246124267578, Time Step 412000
