Episodic Return: 78.48056030273438, Time Step 133000
Episodic Return: 153.4662322998047, Time Step 134000
Episodic Return: 44.20534896850586, Time Step 135000
Episodic Return: 34.179176330566406, Time Step 136000
Episodic Return: 93.55695343017578, Time Step 137000
Episodic Return: 70.56006622314453, Time Step 138000
Episodic Return: 114.44259643554688, Time Step 139000
Episodic Return: 93.74234771728516, Time Step 140000
Episodic Return: 86.89395141601562, Time Step 141000
Episodic Return: 39.60002136230469, Time Step 142000
Episodic Return: 102.24479675292969, Time Step 143000
Episodic Return: 138.5931854248047, Time Step 144000
Episodic Return: 101.40128326416016, Time Step 145000
Episodic Return: 96.6884994506836, Time Step 146000
Episodic Return: 93.33816528320312, Time Step 147000
Episodic Return: 167.84878540039062, Time Step 148000
Episodic Return: 111.02178955078125, Time Step 149000
Episodic Return: 92.76502990722656, Time Step 150000
Episodic Return: 75.8864517211914, Time Step 151000
Episodic Return: 104.23653411865234, Time Step 152000
Episodic Return: 107.76111602783203, Time Step 153000
Episodic Return: 81.26407623291016, Time Step 154000
Episodic Return: 158.72265625, Time Step 155000
Episodic Return: 92.28240966796875, Time Step 156000
Episodic Return: 82.16566467285156, Time Step 157000
Episodic Return: 121.18720245361328, Time Step 158000
Episodic Return: 128.5863494873047, Time Step 159000
Episodic Return: 188.38214111328125, Time Step 160000
Episodic Return: 44.44117736816406, Time Step 161000
Episodic Return: 128.0695037841797, Time Step 162000
Episodic Return: 129.2138214111328, Time Step 163000
Episodic Return: 57.17442321777344, Time Step 164000
Episodic Return: 177.28268432617188, Time Step 165000
Episodic Return: 55.052467346191406, Time Step 166000
Episodic Return: 107.63946533203125, Time Step 167000
Episodic Return: 151.5975799560547, Time Step 168000
Episodic Return: 156.2499542236328, Time Step 169000
Episodic Return: 64.77539825439453, Time Step 170000
Episodic Return: 68.88666534423828, Time Step 171000
Episodic Return: 115.3983154296875, Time Step 172000
Episodic Return: 220.18455505371094, Time Step 173000
Episodic Return: 88.5143814086914, Time Step 174000
Episodic Return: 124.22124481201172, Time Step 175000
Episodic Return: 135.21961975097656, Time Step 176000
Episodic Return: 190.33079528808594, Time Step 177000
Episodic Return: 68.51537322998047, Time Step 178000
Episodic Return: 209.8324737548828, Time Step 179000
Episodic Return: 73.85836791992188, Time Step 180000
Episodic Return: 187.73934936523438, Time Step 181000
Episodic Return: 109.24916076660156, Time Step 182000
Episodic Return: 132.21542358398438, Time Step 183000
Episodic Return: 111.0676040649414, Time Step 184000
Episodic Return: 142.37339782714844, Time Step 185000
Episodic Return: 141.6094207763672, Time Step 186000
Episodic Return: 113.76663970947266, Time Step 187000
Episodic Return: 85.88212585449219, Time Step 188000
Episodic Return: 163.2629852294922, Time Step 189000
Episodic Return: 152.15611267089844, Time Step 190000
Episodic Return: 99.58598327636719, Time Step 191000
Episodic Return: 119.83940887451172, Time Step 192000
Episodic Return: 179.22122192382812, Time Step 193000
Episodic Return: 236.25839233398438, Time Step 194000
Episodic Return: 223.1848907470703, Time Step 195000
Episodic Return: 217.56094360351562, Time Step 196000
Episodic Return: 199.42868041992188, Time Step 197000
Episodic Return: 63.34959411621094, Time Step 198000
Episodic Return: 165.72080993652344, Time Step 199000
Episodic Return: 99.68792724609375, Time Step 200000
Episodic Return: 85.95328521728516, Time Step 201000
Episodic Return: 276.35699462890625, Time Step 202000
Episodic Return: 178.16285705566406, Time Step 203000
Episodic Return: 161.8786163330078, Time Step 204000
Episodic Return: 253.39144897460938, Time Step 205000
Episodic Return: 107.64193725585938, Time Step 206000
Episodic Return: 179.1876983642578, Time Step 207000
Episodic Return: 218.26136779785156, Time Step 208000
Episodic Return: 204.86190795898438, Time Step 209000
Episodic Return: 182.279296875, Time Step 210000
Episodic Return: 145.66236877441406, Time Step 211000
Episodic Return: 209.9125213623047, Time Step 212000
Episodic Return: 190.98269653320312, Time Step 213000
Episodic Return: 165.6431121826172, Time Step 214000
Episodic Return: 199.6013946533203, Time Step 215000
Episodic Return: 148.03033447265625, Time Step 216000
Episodic Return: 238.543701171875, Time Step 217000
Episodic Return: 203.92034912109375, Time Step 218000
Episodic Return: 165.5132598876953, Time Step 219000
Episodic Return: 184.1714630126953, Time Step 220000
Episodic Return: 209.2672576904297, Time Step 221000
Episodic Return: 168.92213439941406, Time Step 222000
Episodic Return: 225.54647827148438, Time Step 223000
Episodic Return: 168.6769561767578, Time Step 224000
Episodic Return: 191.55836486816406, Time Step 225000
Episodic Return: 131.801025390625, Time Step 226000
Episodic Return: 199.2301025390625, Time Step 227000
Episodic Return: 278.14306640625, Time Step 228000
Episodic Return: 236.66421508789062, Time Step 229000
Episodic Return: 234.80137634277344, Time Step 230000
Episodic Return: 186.5258331298828, Time Step 231000
Episodic Return: 239.2392578125, Time Step 232000
Episodic Return: 182.63229370117188, Time Step 233000
Episodic Return: 193.9159698486328, Time Step 234000
Episodic Return: 218.63095092773438, Time Step 235000
Episodic Return: 236.8943634033203, Time Step 236000
Episodic Return: 242.53890991210938, Time Step 237000
Episodic Return: 145.8405303955078, Time Step 238000
Episodic Return: 241.81141662597656, Time Step 239000
Episodic Return: 257.0504455566406, Time Step 240000
Episodic Return: 229.85858154296875, Time Step 241000
Episodic Return: 275.8530578613281, Time Step 242000
Episodic Return: 145.5089569091797, Time Step 243000
Episodic Return: 179.1564178466797, Time Step 244000
Episodic Return: 262.6475524902344, Time Step 245000
Episodic Return: 264.3771667480469, Time Step 246000
Episodic Return: 128.91542053222656, Time Step 247000
Episodic Return: 157.72763061523438, Time Step 248000
Episodic Return: 183.76620483398438, Time Step 249000
Episodic Return: 94.18870544433594, Time Step 250000
Episodic Return: 85.3426513671875, Time Step 251000
Episodic Return: 224.60191345214844, Time Step 252000
Episodic Return: 281.7049560546875, Time Step 253000
Episodic Return: 264.82037353515625, Time Step 254000
Episodic Return: 258.224853515625, Time Step 255000
Episodic Return: 239.12940979003906, Time Step 256000
Episodic Return: 251.75086975097656, Time Step 257000
Episodic Return: 225.15699768066406, Time Step 258000
Episodic Return: 300.67803955078125, Time Step 259000
Episodic Return: 248.40322875976562, Time Step 260000
Episodic Return: 215.85995483398438, Time Step 261000
Episodic Return: 298.3376159667969, Time Step 262000
Episodic Return: 290.87255859375, Time Step 263000
Episodic Return: 270.7904357910156, Time Step 264000
Episodic Return: 267.58697509765625, Time Step 265000
Episodic Return: 273.94012451171875, Time Step 266000
Episodic Return: 311.87542724609375, Time Step 267000
Episodic Return: 277.8848876953125, Time Step 268000
Episodic Return: 216.47787475585938, Time Step 269000
Episodic Return: 186.22775268554688, Time Step 270000
Episodic Return: 175.61404418945312, Time Step 271000
Episodic Return: 247.05992126464844, Time Step 272000
Episodic Return: 252.5260467529297, Time Step 273000
Episodic Return: 228.77536010742188, Time Step 274000
Episodic Return: 239.54539489746094, Time Step 275000
Episodic Return: 297.59173583984375, Time Step 276000
Episodic Return: 264.6758117675781, Time Step 277000
Episodic Return: 314.6291198730469, Time Step 278000
Episodic Return: 193.1928253173828, Time Step 279000
Episodic Return: 303.4692687988281, Time Step 280000
Episodic Return: 265.7830810546875, Time Step 281000
Episodic Return: 322.90826416015625, Time Step 282000
Episodic Return: 265.3501892089844, Time Step 283000
Episodic Return: 239.76715087890625, Time Step 284000
Episodic Return: 245.69869995117188, Time Step 285000
Episodic Return: 311.099853515625, Time Step 286000
